NAME,NEWNAME
$$user1$$-OS,AgentOS
AKNDEV-AGENT_MONITOR,AgentOS
AKNDEV-AS400,AgentOS400
AKNITS-AGENT_MONITOR,AgentOS
AKNITS-AS400,AgentOS400
APPCYB01PPD-OS,AgentOS
APPCYB02PPD-AGENT_MONITOR,AgentOS
APPCYB02PPD-OS,AgentOS
APPGEN02_DEV_WIN-AGENT_MONITOR,AgentOS
APPGEN02_DEV_WIN-OS,AgentOS
APPGEN02_PRD_WIN-AGENT_MONITOR,AgentOS
APPGEN02_PRD_WIN-OS,AgentOS
APPPLS01PAKR-FILE_TRIGGER,AgentOS
APPPLS01PAKR-OS,AgentOS
APPPLS02PAKR-FILE_TRIGGER,AgentOS
APPPLS02PAKR-OS,AgentOS
APPTAX01_PD_LNX-OS,AgentOS
APPTAX01_QA_LNX-OS,AgentOS
APPTAX02_PD_LNX-OS,AgentOS
APPTAX02_QA_LNX-OS,AgentOS
APPTAX03_QA_LNX-OS,AgentOS
APPTAX04_QA_LNX-OS,AgentOS
APPTAX05_QA_LNX-OS,AgentOS
APPTAX06_QA_LNX-OS,AgentOS
APPTAX07_QA_LNX-OS,AgentOS
BFBRPRO-AGENT_MONITOR,AgentOS
BFBRPRO-AS400,AgentOS400
BFISWEB-FILE_TRIGGER,AgentOS
CYBA_APPAAKFIS-OS,AgentOS
CYBA_APPMNACHQ-AGENT_MONITOR,AgentOS
CYBA_APPMNACHQ-OS,AgentOS
CYBA_BIRDMAKFIS-FILE_TRIGGER,AgentOS
CYBA_BIRDMAKFIS-OS,AgentOS
CYBA_BIRDmAKFIS-OS,AgentOS
CYBA_BKPNBU05-AGENT_MONITOR,AgentOS
CYBA_BKPNBU05-OS,AgentOS
CYBA_CDC1AKFIS-AGENT_MONITOR,AgentOS
CYBA_CDC1AKFIS-FILE_TRIGGER,AgentOS
CYBA_CDC1AKFIS-OS,AgentOS
CYBA_ISBFD-AGENT_MONITOR,AgentOS
CYBA_ISBFD-OS,AgentOS
CYBA_ISBFM-AGENT_MONITOR,AgentOS
CYBA_ISBFM-OS,AgentOS
CYBA_ISBFP1-AGENT_MONITOR,AgentOS
CYBA_ISBFP1-OS,AgentOS
CYBA_ISBFP2-AGENT_MONITOR,AgentOS
CYBA_ISBFP2-OS,AgentOS
CYBA_ISBFP3-AGENT_MONITOR,AgentOS
CYBA_ISBFP3-FILE_TRIGGER,AgentOS
CYBA_ISBFP3-OS,AgentOS
CYBA_ISBFP5-AGENT_MONITOR,AgentOS
CYBA_ISBFP5-OS,AgentOS
CYBA_ISBFP6-AGENT_MONITOR,AgentOS
CYBA_ISBFP6-OS,AgentOS
CYBA_ISBFQ-AGENT_MONITOR,AgentOS
CYBA_ISBFQ-OS,AgentOS
CYBA_ISBFQ2-AGENT_MONITOR,AgentOS
CYBA_ISBFQ2-OS,AgentOS
CYBA_ISBFT-AGENT_MONITOR,AgentOS
CYBA_ISHRP1-AGENT_MONITOR,AgentOS
CYBA_ISHRP1-FILE_TRIGGER,AgentOS
CYBA_ISHRP1-OS,AgentOS
CYBA_ISHRQ-AGENT_MONITOR,AgentOS
CYBA_ISHRQ-OS,AgentOS
CYBA_OPMAPP-AGENT_MONITOR,AgentOS
CYBA_OPMAPP-OS,AgentOS
CYBA_PGP2AKFIS-FILE_TRIGGER,AgentOS
CYBA_PGP2AKFIS-OS,AgentOS
CYBA_PPIWPROD-OS,AgentOS
CYBA_QAWAPROD-OS,AgentOS
CYBA_SAPBFMDB-AGENT_MONITOR,AgentOS
CYBA_SAPBFMDB-OS,AgentOS
CYBA_SAPBFPDB-AGENT_MONITOR,AgentOS
CYBA_SAPBFPDB-OS,AgentOS
CYBA_SAPBFQDB-AGENT_MONITOR,AgentOS
CYBA_SAPBFQDB-OS,AgentOS
CYBA_SAPBGD-AGENT_MONITOR,AgentOS
CYBA_SAPBGD-OS,AgentOS
CYBA_SAPBGP-AGENT_MONITOR,AgentOS
CYBA_SAPBGP-OS,AgentOS
CYBA_SAPBGQ-AGENT_MONITOR,AgentOS
CYBA_SAPBGQ-OS,AgentOS
CYBA_SAPDE1-AGENT_MONITOR,AgentOS
CYBA_SAPDE1-OS,AgentOS
CYBA_SAPJVD-AGENT_MONITOR,AgentOS
CYBA_SAPJVD-OS,AgentOS
CYBA_SAPJVP-AGENT_MONITOR,AgentOS
CYBA_SAPJVP-OS,AgentOS
CYBA_SAPPL1-AGENT_MONITOR,AgentOS
CYBA_SAPPL1-OS,AgentOS
CYBA_SAPPOD-AGENT_MONITOR,AgentOS
CYBA_SAPPOD-OS,AgentOS
CYBA_SAPPOP-AGENT_MONITOR,AgentOS
CYBA_SAPPOP-OS,AgentOS
CYBA_SAPPOPAPP-AGENT_MONITOR,AgentOS
CYBA_SAPPOPAPP-OS,AgentOS
CYBA_SAPPOPDB-AGENT_MONITOR,AgentOS
CYBA_SAPPOPDB-OS,AgentOS
CYBA_SAPPOQ1-AGENT_MONITOR,AgentOS
CYBA_SAPPOQ1-OS,AgentOS
CYBA_SAPPOQ2-AGENT_MONITOR,AgentOS
CYBA_SAPPOQ2-OS,AgentOS
CYBA_SAPPOQDB-AGENT_MONITOR,AgentOS
CYBA_SAPPOQDB-OS,AgentOS
CYBA_SAPSB1-AGENT_MONITOR,AgentOS
CYBA_SAPSB1-OS,AgentOS
CYBA_SAPSLD-AGENT_MONITOR,AgentOS
CYBA_SAPSLD-OS,AgentOS
CYBA_SAPSLQ-AGENT_MONITOR,AgentOS
CYBA_SAPSLQ-OS,AgentOS
CYBA_SAPSMD-AGENT_MONITOR,AgentOS
CYBA_SAPSMD-OS,AgentOS
CYBA_SAPSMP-AGENT_MONITOR,AgentOS
CYBA_SAPSMP-OS,AgentOS
CYBA_SP2N13-AGENT_MONITOR,AgentOS
CYBA_SP2N13-OS,AgentOS
CYBA_SP2N25-AGENT_MONITOR,AgentOS
CYBA_SP2N25-OS,AgentOS
CYBA_SXDAPP1-OS,AgentOS
CYBA_SXDAPP2-OS,AgentOS
CYBA_SXDDB-OS,AgentOS
CYBA_SXDRPTBO-OS,AgentOS
CYBA_SXDRPTDB-OS,AgentOS
CYBA_SXDRPTDS-OS,AgentOS
CYBA_SXPAPP1-OS,AgentOS
CYBA_SXPAPP2-OS,AgentOS
CYBA_SXPAPP3-OS,AgentOS
CYBA_SXPAPP4-OS,AgentOS
CYBA_SXPAPP5-OS,AgentOS
CYBA_SXPDB-OS,AgentOS
CYBA_SXPRPTBO-OS,AgentOS
CYBA_SXPRPTDB-OS,AgentOS
CYBA_SXPRPTDS-OS,AgentOS
CYBA_SXQAPP1-OS,AgentOS
CYBA_SXQAPP2-OS,AgentOS
CYBA_SXQAPP3-OS,AgentOS
CYBA_SXQDB-OS,AgentOS
CYBA_SXQRPTBO-OS,AgentOS
CYBA_SXQRPTDB-OS,AgentOS
CYBA_SXQRPTDS-OS,AgentOS
CYBA_SXSAPP1-OS,AgentOS
CYBA_SXSAPP2-OS,AgentOS
CYBA_SXSDB-OS,AgentOS
CYBA_SXSRPTBO-OS,AgentOS
CYBA_SXSRPTDB-OS,AgentOS
CYBA_SXSRPTDS-OS,AgentOS
CYBB_BFP030-AGENT_MONITOR,AgentOS
CYBB_BFP030-FILE_TRIGGER,AgentOS
CYBB_BFP030-SAP,AgentSAP
CYBB_BFP030-SAPE,AgentOS
CYBB_BFT030-AGENT_MONITOR,AgentOS
CYBB_BFT030-SAP,AgentSAP
CYBB_BGP030-AGENT_MONITOR,AgentOS
CYBB_BGP030-SAP,AgentSAP
CYBB_BWP100-AGENT_MONITOR,AgentOS
CYBB_BWP100-SAP,AgentSAP
CYBB_BWQ100-AGENT_MONITOR,AgentOS
CYBB_BWT100-AGENT_MONITOR,AgentOS
CYBB_EP1-AGENT_MONITOR,AgentOS
CYBB_EU1-AGENT_MONITOR,AgentOS
CYBB_EU1-SAP,AgentSAP
CYBB_GP1-AGENT_MONITOR,AgentOS
CYBB_GQ1-AGENT_MONITOR,AgentOS
CYBB_GQ1-SAP,AgentSAP
CYBB_NP1-AGENT_MONITOR,AgentOS
CYBB_NU1-AGENT_MONITOR,AgentOS
CYBB_NU1-SAP,AgentSAP
DM400A-AGENT_MONITOR,AgentOS
DM400A-AS400,AgentOS400
DSSAPP01PAKR-AGENT_MONITOR,AgentOS
DSSAPP01PAKR-FILE_TRIGGER,AgentOS
DSSAPP01PAKR-OS,AgentOS
DSSAPP01QAKR-AGENT_MONITOR,AgentOS
HANERP01QAKR_LNX-AGENT_MONITOR,AgentOS
LNX_DSRSAP01PAKR-AGENT_MONITOR,AgentOS
LNX_DSRSAP01PAKR-FILE_TRIGGER,AgentOS
LNX_DSRSAP01PAKR-OS,AgentOS
LNX_DSRSAP01QAKR-AGENT_MONITOR,AgentOS
LNX_DSRSAP01QAKR-FILE_TRIGGER,AgentOS
LNX_DSRSAP01QAKR-OS,AgentOS
LNX_ERPAPP01QAKR-AGENT_MONITOR,AgentOS
LNX_ERPAPP02PAKR-AGENT_MONITOR,AgentOS
LNX_ERPAPP03QAKR-AGENT_MONITOR,AgentOS
LNX_HANGRC01PAKR-AGENT_MONITOR,AgentOS
LNX_HANGRC01QAKR-AGENT_MONITOR,AgentOS
LNX_IZP100-AGENT_MONITOR,AgentOS
LNX_IZQ100-AGENT_MONITOR,AgentOS
LNX_MDGAPP02PAKR-AGENT_MONITOR,AgentOS
LNX_MDGAPP02QAKR-AGENT_MONITOR,AgentOS
LVPROD-AGENT_MONITOR,AgentOS
LVPROD-AS400,AgentOS400
SAP_BZC100-SAP,AgentSAP
SAP_BZC100-SAPE,AgentOS
SAP_BZP100-FILE_TRIGGER,AgentOS
SAP_BZP100-SAP,AgentSAP
SAP_BZQ100-FILE_TRIGGER,AgentOS
SAP_BZQ100-SAP,AgentSAP
SAP_IZP100-AGENT_MONITOR,AgentOS
SAP_IZP100-FILE_TRIGGER,AgentOS
SAP_IZP100-SAP,AgentSAP
SAP_IZP100-SAPE,AgentOS
SAP_IZQ100-AGENT_MONITOR,AgentOS
SAP_IZQ100-SAP,AgentSAP
SFGINT01P_LNX-OS,AgentOS
SFGINT01Q_LNX-OS,AgentOS
SFGINT02P_LNX-OS,AgentOS
SFGINT02Q_LNX-OS,AgentOS
SFTGEN01PAKR-OS,AgentOS
UnknownAgent-SAP,AgentSAP
WEB3AKATC-OS,AgentOS
WRNPROD-AGENT_MONITOR,AgentOS
WRNPROD-AS400,AgentOS400
appcyb02ppd-OS,AgentOS
cybb_bfp030-SAP,AgentSAP
