GROUPNAME,JOBNAME
ABDAGENT,ABDAGENT
ABDAGENT,ABENDBFP
ABDAGENT,ABENDBGP
ABDAGENT,ABENDBWP
ABDAGENT,ABENDBZC
ABDAGENT,ABENDBZP
ABDAGENT,ABENDIZP
ACICSDWN,ACICSDWN
ACICSUP,ACICSDWN
ACICSUP,ACICSUP
ADWDSTAB,LIE.ADWDSTAB
ADWDSTAB,LIS.ADWDSTAB
AGENTEST,LIE.AGENTEST
AGENTEST,LIS.AGENTEST
AGENTEST,WA_AGENT_TEST_APPGEN02_DEV_WIN
AGENTEST,WA_AGENT_TEST_APPGEN02_PRD_WIN
AGENTMON,APPCYB02PPD
AGENTMON,APPGEN02PPD
AGENTMON,APPM_NA_CHQ
AGENTMON,AS400_AKNITS
AGENTMON,AS400_BRAZIL
AGENTMON,AS400_DM400A
AGENTMON,AS400_LVPROD
AGENTMON,AS400_WRNPROD
AGENTMON,CDC1_AK_FIS
AGENTMON,CYBA_BKPNBU05
AGENTMON,CYBA_ISBFP5
AGENTMON,CYBA_ISBFP6
AGENTMON,CYBA_OPMAPP
AGENTMON,CYBA_PPIWPROD_ON_DSWSQL01PNSH.BFUSA.COM
AGENTMON,CYBA_SAPBFPDB
AGENTMON,CYBA_SAPBGP
AGENTMON,CYBA_SAPJVP
AGENTMON,CYBA_SAPPOP
AGENTMON,CYBA_SAPPOPAPP
AGENTMON,CYBA_SAPPOPDB
AGENTMON,CYBA_SAPSMP
AGENTMON,CYBB_BGP030
AGENTMON,CYBB_BWP100
AGENTMON,CYBB_EP1
AGENTMON,CYBB_GP1
AGENTMON,CYBB_NP1
AGENTMON,DSSAPP01PAKR
AGENTMON,ISBFP1
AGENTMON,ISBFP2
AGENTMON,ISHRP1
AGENTMON,LNX_DSRSAP01PAKR
AGENTMON,LNX_ERPAPP02PAKR
AGENTMON,LNX_HANGRC01PAKR
AGENTMON,LNX_IZP100
AGENTMON,LNX_MDGAPP02PAKR
AGENTMON,SAP_BFP030
AGENTMON,SAP_IZP100
AGENTMON,SP2N13
AGENTMON,SP2N25
AGENTMOZ,AS400_AKNDEV
AGENTMOZ,CYBA_ISBFQ2
AGENTMOZ,CYBA_ISBFT
AGENTMOZ,CYBA_OPMAPP
AGENTMOZ,CYBA_SAPBFMDB
AGENTMOZ,CYBA_SAPBFQDB
AGENTMOZ,CYBA_SAPBGD
AGENTMOZ,CYBA_SAPBGQ
AGENTMOZ,CYBA_SAPJVD
AGENTMOZ,CYBA_SAPPL1
AGENTMOZ,CYBA_SAPPOD
AGENTMOZ,CYBA_SAPPOQ1
AGENTMOZ,CYBA_SAPPOQ2
AGENTMOZ,CYBA_SAPPOQDB
AGENTMOZ,CYBA_SAPSLD
AGENTMOZ,CYBA_SAPSLQ
AGENTMOZ,CYBA_SAPSMD
AGENTMOZ,CYBB_BFQ030
AGENTMOZ,CYBB_BFT030
AGENTMOZ,CYBB_BWQ100
AGENTMOZ,CYBB_BWT100
AGENTMOZ,CYBB_EU1
AGENTMOZ,CYBB_GQ1
AGENTMOZ,CYBB_NU1
AGENTMOZ,HANERP01QAKR_LNX
AGENTMOZ,ISBFD
AGENTMOZ,ISBFQ
AGENTMOZ,ISHRQ
AGENTMOZ,LNX_DSRSAP01QAKR
AGENTMOZ,LNX_ERPAPP01QAKR
AGENTMOZ,LNX_ERPAPP03QAKR
AGENTMOZ,LNX_HANGRC01QAKR
AGENTMOZ,LNX_IZQ100
AGENTMOZ,LNX_MDGAPP02QAKR
AGENTMOZ,SAP_ISBFM
AGENTMOZ,SAP_IZQ100
AGENTMOZ,SAPDE1
AGENTMOZ,SAPSB1
AICOD040,LIS.AICOD040
AICOD040,PARMSET.AICOD040
AICOD040,SETPID.AICOD040
AIMMD050,ARCHIVE_ZMMIMI07_IID_F181
AIMMD050,F181_RAW_MATERIAL_CONSUMPTION_FILE_FROM_SI
AIMMD050,LIE.AIMMD050
AIMMD050,LIS.AIMMD050
AIMMD050,TRIGNEW1.AIMMD050
AIMMD050,ZMMIMI07_F181_AIKEN
AKBRMDLY,BRMDLYMNT.AKNITS
AKBRMDLY,BRMDLYONS.AKNITS
AKDCF001,LIE.AKDCF001
AKDCF001,LIS.AKDCF001
AKDDT004,LIE.AKDDT004
AKDDT004,LIS.AKDDT004
AKDES002,LIE.AKDES002
AKDES002,LIS.AKDES002
AKDES003,LIS.AKDES003
AKDEVBRM,BRMDLYONS.AKNDEV
AKDEVBRM,LIE.AKDEVBRM
AKDEVBRM,LIS.AKDEVBRM
AKDVM003,LIE.AKDVM003
AKDVM003,LIS.AKDVM003
AKPPD040,LIE.AKPPD040
AKPPD040,LIS.AKPPD040
ANA00010,ANA00010
ANA00010,ANCLMIGR
ANA00010,ANOPMIGR
ANA00010,ANW00070
AOPPD040,LIS.AOPPD040
APD003,LIE.APD003
APD003,LIS.APD003
APD005,LIE.APD005
APD005,LIS.APD005
APD006,LIE.APD006
APD006,LIS.APD006
APD007,LIE.APD007
APD007,LIS.APD007
APD008,LIE.APD008
APD008,LIS.APD008
APD009,LIE.APD009
APD009,LIS.APD009
APD010,LIE.APD010
APD010,LIS.APD010
APD020,LIE.APD020
APD020,LIS.APD020
APD023,CDSTAT.ZFIAPI17
APD023,LIE.APD023
APD023,LIS.APD023
APD023,PARMSET.APD023
APD023,SETPID.APD023
APD024,LIE.APD024
APD024,LIS.APD024
APD050,APD050
APDFI020,LIE.APDFI020
