NAME,NEWNAME
CYBB_BFT030,AgentOS
DSSAPP01QAKR,AgentOS
CFNA_FILXFER001,AgentOS
SAP_IZP100,AgentSAP
CYBA_PGP2AKFIS,AgentOS
BFMXPRO,AgentOS
CYBA_QAWAPROD,AgentOS
WPSP_WPSFIL01PAK,AgentOS
CYBA_SAPBGQ,AgentSAP
NOAGENTOS,AgentOS
CYBA_JDAP1AKFIS,AgentOS
CYBB_BWT100,AgentOS
CYBB_BFP030,AgentOS
CYBA_ISBFT,AgentOS
CYBA_SAPPOD,AgentOS
CYBA_ISBFQ,AgentOS
CYBB_bft030,AgentOS
CYBA_APPAAKFIS,AgentOS
!AGENTNAME,AgentOS
CYBA_SAPBGD,AgentOS
CYBA_SAPBFPDB,AgentSAP
CYBB_BGP030,AgentOS
APPGEN02_PRD_WIN,AgentOS
CYBB_EU1,AgentOS
SAP_BZP100,AgentOS
APPPLS02PAKR,AgentOS
SAP_IZQ100,AgentOS
AGENT1,AgentOS
UnknownAgent,AgentOS
!AGENT1,AgentOS
AGENT1,AgentOS
'!USER1._!USER2._LNX',AgentOS
UnknownAgent,AgentOS
CYBB_BFQ030,AgentOS
CYBA_PPIWPROD,AgentOS
SFGINT02P_LNX,AgentOS
LNX_DSRSAP01QAKR,AgentOS
SAP_BZC100,AgentSAP
!user1,AgentOS
cyba_isbft,AgentOS
CFNA_BAOPDEV001,AgentOS
CYBA_BIRDMAKFIS,AgentOS
CYBA_ISBFP3,AgentOS
CYBA_APPMAGPLT,AgentOS
$$user1$$,AgentOS
