
Global Name                                                      Value                                                                                                Last Changed        
________________________________________________________________ ____________________________________________________________________________________________________ ____________________
ABS_FACE_LOGPATH                                                 \\b12.cishoc.com\dfs\GSPRD\PRIVATE\PROD\Facets\5x\Logfiles                                           12/04/2019 16:05:23 
ABS_FACE_ParmE                                                   -@CommonSystemProp.xml --Region=fab12pr0                                                             11/26/2019 16:42:30 
ABS_FACE_ParmE_CMU                                               -@CommonSystemProp_CMU.xml --Region=fab12pr0                                                         11/26/2019 16:42:56 
ABS_PPS_Adhoc                                                    1                                                                                                    12/27/2019 15:58:08 
AHW_CAE_LOGPATH                                                  \\B61.cishoc.com\dfs\GSPRD\PRIVATE\PROD\CAE\5x\Region_3\CKNAS\HBA\Logfiles                           04/12/2020 08:53:07 
AHW_CAEParmE                                                     -@\\B61.cishoc.com\dfs\GSPRD\PRIVATE\PROD\CAE\5x\Region_3\CKNAS\HBA\Runfiles\                        04/12/2020 08:52:50 
AHW_QNXT_LOGPATH                                                 \\b61.cishoc.com\DFS\GSPRD\PRIVATE\PROD\QNXT\5x\Region_3\Logfiles                                    04/15/2020 12:10:29 
AHW_QNXT_ParamE                                                  -@\\b61.cishoc.com\DFS\GSPRD\PRIVATE\PROD\QNXT\5x\Region_3\Runfiles\                                 10/31/2019 16:29:23 
ATR_TMS_LOGPATH                                                  \\b30.cishoc.com\dfs\GSPRD\PRIVATE\PROD\TMS\5x\Region_3\Logfiles                                     12/06/2018 03:22:48 
ATR_TMS_ParmE                                                    -@\\b30.cishoc.com\dfs\GSPRD\PRIVATE\PROD\TMS\5x\Region_3\Runfiles\TMSCommonSystemProp.xml           12/06/2018 03:20:49 
AWHP_CAE_LOGPATH                                                 \\n06.cishoc.com\dfs\GSPRD\PRIVATE\PROD\CAE\5x\Region_3\CKNAS\HBA\Logfiles                           01/14/2021 15:25:37 
AWHP_CAE_ParmE                                                   -@\\n06.cishoc.com\dfs\GSPRD\PRIVATE\PROD\CAE\5x\Region_3\CKNAS\HBA\RunFiles\                        01/14/2021 15:26:00 
AWHP_CAE_TRACKERPATH                                             \\n06.cishoc.com\dfs\GSPRD\PRIVATE\PROD\CAE\5x\Region_3\CKNAS\HBA\Trackers                           01/14/2021 17:50:31 
AWHP_TMS_LOGPATH                                                 \\n06.cishoc.com\dfs\GSPRD\PRIVATE\PROD\TMS\5x\Region_3\Logfiles                                     09/25/2022 12:53:30 
AWHP_TMS_ParmE                                                   -@\\n06.cishoc.com\dfs\GSPRD\PRIVATE\PROD\TMS\5x\Region_3\RunFiles\TMSCommonSystemProp_Prod.xml      10/17/2022 05:37:40 
AWHP_TMS_TRACKERPATH                                             \\n06.cishoc.com\dfs\GSPRD\PRIVATE\PROD\TMS\5x\Region_3\Trackers                                     09/25/2022 12:54:13 
BATCH_DATE                                                       02082023                                                                                             02/08/2023 15:00:03 
BATCH_DAY                                                        Wed                                                                                                  02/08/2023 15:00:04 
BCN_501_PRVD                                                     /usr/client/bcnprod/scripts/tidal/                                                                   02/06/2020 06:23:26 
BCN_CAE_LOGPATH                                                  \\b09.cishoc.com\DFS\GSPRD\PRIVATE\PROD\CAE\5x\Region_1\CKNAS\HBA\Logfiles                           02/05/2020 23:05:44 
BCN_CAE_ParmE                                                    -@\\b09.cishoc.com\DFS\GSPRD\PRIVATE\PROD\CAE\5x\Region_1\CKNAS\HBA\Runfiles                         02/05/2020 23:06:07 
BCN_CAE_ParmE1                                                   \CommonSystemProp_CAE.xml                                                                            02/05/2020 23:06:34 
BCN_CAE_TRACKERPATH                                              \\b09.cishoc.com\DFS\GSPRD\PRIVATE\PROD\CAE\5x\Region_1\CKNAS\HBA\Trackers                           02/05/2020 23:06:59 
BCN_ENV                                                          bcn_                                                                                                 02/05/2020 22:59:08 
BCN_FACE_LOGPATH                                                 \\B09.CISHOC.COM\DFS\GSPRD\Private\PROD\Facets\5x\Region_1\Logfiles\                                 02/05/2020 22:59:27 
BCN_FACE_PRD1_LOGPATH                                            \\B09.CISHOC.COM\DFS\GSPRD\Private\PROD1\Facets\5x\Region_3\Logfiles\                                08/12/2021 02:04:00 
BCN_Facets_ParamCMU                                              -@CommonSystemProp_CMU.xml --Region=fab09pr0                                                         02/05/2020 23:01:13 
BCN_Facets_ParamE                                                -@CommonSystemProp.xml --Region=fab09pr0                                                             02/05/2020 23:01:53 
BCN_Facets_ParamE_IHT                                            -@CommonSystemProp.xml --Region=fab09pr0_iht                                                         02/05/2020 23:02:17 
BCN_Facets_ParamE_ITS                                            -@CommonSystemProp.xml --Region=fab09pr0_its                                                         02/05/2020 23:02:38 
BCN_Facets_ParamE_MAC                                            -@CommonSystemProp.xml --Region=fab09pr0_mac                                                         02/05/2020 23:03:03 
BCN_Facets_ParamE_PCG                                            -@CommonSystemProp.xml --Region=fab09pr0_pcg                                                         02/05/2020 23:03:28 
BCN_Facets_ParamE_PHI                                            -@CommonSystemProp.xml --Region=fab09pr0_phi                                                         02/05/2020 23:03:48 
BCN_Facets_ParamE_Recall                                         -@CommonSystemProp.xml --Region=fab09pr0_recall                                                      11/17/2020 11:57:43 
BCN_Facets_ParamE_VEN                                            -@CommonSystemProp.xml --Region=fab09pr0_ven                                                         02/05/2020 23:04:31 
BCN_FacetsE_edi                                                  -@CommonSystemProp.xml --Region=fab09pr0_edi                                                         07/06/2021 02:23:41 
BCN_FacetsE_egi                                                  -@CommonSystemProp.xml --Region=fab09pr0_egi                                                         02/05/2020 23:00:34 
BCN_FacetsE_fhg                                                  -@CommonSystemProp.xml --Region=hgdfyppr0_fhg                                                        02/11/2020 04:51:43 
BCN_FTPS_UNIXParamS                                              /tzg/bcn/v501/prod/ftp/scripts/                                                                      02/05/2020 22:59:49 
BCN_VitriaParmS                                                  /vitria/build/kit/scripts/                                                                           02/05/2020 23:04:51 
