NAME,NEWNAME
STUB_DCL[13WDSAT]MIU[JAN],13WDSAT
STUB_DCL[1CDHOL4WD],1CDHOL4WD
STUB_DCL[1CDHOL7WD],1CDHOL7WD
STUB_DCL[1CDTHRU3WD],1CDTHRU3WD
STUB_DCL[20WDORLWD],20WDORLWD
STUB_DCL[25CDHOLRB],25CDHOLRB
STUB_DCL[2WDSUN8WD],2WDSUN8WD
STUB_DCL[3WDSUN7WD],3WDSUN7WD
STUB_DCL[7DACAL]DYS[-1--2--3--4--5--6--7--8--9--10--11--12--L1],13CD Thru EOM Except LCD
STUB_DCL[7DANOHOL],7DANOHOL
STUB_DCL[7DANOHOL]DYS[D1],CD1
STUB_DCL[ABUEMNTHEND],ABUEMNTHEND
STUB_DCL[ABUEMNTHEND]MIU[JAN],ABUEMNTHEND-JAN
STUB_DCL[BANKHOLALL],BANKHOLALL
STUB_DCL[BANKHOLCAN]DYS[L3],BANKHOLCAN-L3WD
STUB_DCL[BANKHOLEUR],BANKHOLEUR
STUB_DCL[BANKHOLUSA],BANKHOLUSA
STUB_DCL[BANKHOLUSA]DYS[L3],BANKHOLUSA-L3WD
STUB_DCL[CANSBHOL]DYS[D1],CANSBHOL-1WD
STUB_DCL[COPCANWD],COPCANWD
STUB_DCL[COPNORWD],COPNORWD
STUB_DCL[COPNORWD]DYS[D1-D2-D3-D4-D5-D6-D7-D8],NOR WD1-WD8
STUB_DCL[COPNORWD]DYS[L1],COPNORWD-LASTWD
STUB_DCL[COPUSWD],COPUSWD
STUB_DCL[COPUSWD]DYS[-D1--D2--D3--D4--D5--D6--D7--D8--D9--D10],All Workdays Except First 10WD
STUB_DCL[COPUSWD]DYS[-D1--D2--D3--D4--D5--D6--D7--D8--D9],All Workdays Except First 9WD
STUB_DCL[COPUSWD]DYS[-D1--D2--D3--D4--D5],All Workdays Except First 5WD
STUB_DCL[COPUSWD]DYS[-D1--D2--D3--D4],All Workdays Except First 4WD
STUB_DCL[COPUSWD]DYS[-D1--D2--L1],All Workdays Except WD1_ WD2_ LWD
STUB_DCL[COPUSWD]DYS[-D1--D2],All Workdays Except WD1_ WD2
STUB_DCL[COPUSWD]DYS[-D2--D3--D4],All Workdays Except WD2_ WD3_ WD4
STUB_DCL[COPUSWD]DYS[-D3--D4--D5--D6],All Workdays Except WD3_ WD4_ WD5_ WD6
STUB_DCL[COPUSWD]DYS[-D6],All workdays except WD6
STUB_DCL[COPUSWD]DYS[>10--10],First WD after 10 CD
STUB_DCL[COPUSWD]DYS[>15--15],First WD after 15 CD
STUB_DCL[COPUSWD]DYS[>6->19],6CD/19CD
