JOBNAME,PROGNAME,VARIANT,PDEST,PRCOP,PLIST,PRTXT,PRBER
H00ES001,ZHRPDR_GLOBAL_CHIEF_REPORT,PROD RUN,HSCP,001,H00ES001_001,Global Chief Extract for Manager Express,SHRES_00_001
H00ES002,ZSEC_MAINTAIN_MANAGERS,PRODUCTION,HSCS,001,H00ES002_001,,SHRES_00_001
H00ES003,ZSEC_ROLES,HRS_MSS,HSCS,001,H00ES003_001,,SHRES_00_001
H00ES004,ZHRESU_EMAIL_NOTIFICATIONS,PRODUCTION,HSCS,001,H00ES004_001,,SHRES_00_001
H00ES005,ZHRESU_EMAIL_MANAGER_REMINDER,PRODUCTION,HSCS,001,H00ES005_001,,SHRES_00_001
H00ES006,YHU_QM_EMAIL_ASSESSORS,PROD RUN,HSCS,001,H00ES006_001,HR:00:ES: QM Emails to Assessors Report,SHRES_00_001
H00ES007,YHU_QM_EMAIL_REMINDER_LOAD,PROD RUN,HSCS,001,H00ES007_001,HR:00:ES: QM Reminder Load Emails Report,SHRES_00_001
H00ES008,YHU_QM_WF_ROUTE_UPDATE,H00ES008_001,HSCS,001,H00ES008_001,HR:00:ES: QM Route Update,COP
H00PA001,ZHRPAR_GLOBAL_AUDIT_REPORT,PROD HIGH,HSCS,001,H00PA001_001,HR Global Audit Report - High Errors,SHRPA_10_001
H00PA002,ZHRPAU_GDG_UTILITY,PROD RUN,HSCP,001,H00PA002_001,GDG Utility Control Report,SHRPA_00_001
H00PA003,ZHRPAI_USERID_EMAIL_UPDATE,PROD RUN,HSCP,001,H00PA003_001,HR:10 Update SAP Userid/Email from Control SA,SHRPA_10_002
H00PA004,ZHRPDI_ORG_CHART_INTERFACE,H00PA004_001,HSCS,001,H00PA004_001,HR:10 Organization Chart Outbound Interface,SHRPA_10_002
H00PA005,RHINTE30,PRODUCTION RUN,HSCP,001,H00PA005_001,HR US: RHINTE30 Integration Program,SHRPA_10_002
H00PA006,ZHRPAC_COMPARE_EMPL_DATA,PROD RUN,HSCS,001,H00PA006_001,,SHRPA_10_002
H00PA008,ZHRPAI_GLOBAL_EXPAT_EXTRACT,PROD RUN,HSCP,001,H00PA008_001,HR-00: Expat Extract Report,SHRPA_10_002
H00PA009,ZHRPAI_GLOBAL_TMT_EXTRACT,PROD RUN,HSCP,001,H00PA009_001,HR Global TMT Extract Job,SHRP
H00PA010,ZHRPAI_GLOBAL_IT9100_UPDATE,TEST RUN,HSCP,001,H00PA010_001,HR-00-PA: IT 9100 EE Designations Update,SHRPA_10_001
H00PA011,ZHRPAI_GLOBAL_IT9100_HIPOT,PROD RUN,HSCS,001,H00PA011_001,HR: Global Hi-Potential Rating Update File Formatter,SHRPA_10_002
H00PA012,ZHRPAR_GLOBAL_AUDIT_REPORT,H00PA012_001,HSCP,001,H00PA012_001,,SHRPA_10
H00PA019,ZSETPARM,H00PA019,HSCS,001,H00PA019_001,,SHRPA_10_001
H00PA020,ZHRPAI_GLOBAL_COMP_UPDATE,AIM INPUT,HSCP,001,H00PA020_001,HR: Process Salary Adjustments from AIM,SHRPA_10_001
H00PA021,ZHRPAI_GLOBAL_COMP_UPDATE,AIM INPUT TEST,HSCP,001,H00PA021_001,HR: Process Salary Adjustments from AIM - Simulation,SHRPA_10_001
H00PA022,RSBDCSUB,HR00 COMP UPD,HSCP,001,H00PA022_001,HR: Integrate Compensation Adjustments,SHRPA_10_001
H00PA026,ZHRPAI_GLOBAL_TASK_MONITOR,00 PROD 1,HSCS,001,H00PA026_001,HR Global Task Monitor,SHRPA_10
H00PA027,ZHRPAI_GLOBAL_TASK_MONITOR,00 PROD 2,HSCS,001,H00PA027_001,Global Leave Expiration Task Monitor,SHRPA_10
H00PA028,ZHRPAI_GLOBAL_TASK_MONITOR,00 PROD 3,HSCS,001,H00PA028_001,Global National Id Follow Task Monitor,SHRPA_10
H00PA029,ZHRPAI_GLOBAL_IT9100_UPDATE,PROD RUN,HSCP,001,H00PA029_001,HR: Process Performance Ratings from Comp Express,SHRP
H00PA030,PRTXT,PROD RUN,HSCS,001,H00PA030_001,HR-00-PA: Load Employees into SAP,
H00PA031,ZSETPARM,PRODHR,HSCS,001,H00PA031_001,,SHRPA_10
H00PA032,ZUNIXCPY,H00PA032_001,,001,H00PA032_001,,SHRPY
H00PA033,ZHRPAR_GLOBAL_EXPAT_REPORT,PROD RUN,HSCP,001,H00PA033_001,HR-00-PA: Global Expat Error Report,SHRPA_10_002
H00PA034,ZHRPAC_UPDATE_IT0007,PROD RUN,HSCS,001,H00PA034_001,Update IT0007 Records,SHRPA_10_001
H00PA035,ZHRPAI_GLOBAL_TASK_MONITOR,00 PROD 4,HSCS,001,H00PA035_001,Payment Due Task Monitor,SHRPA_10
H00PA036,ZHRPAR_GLOBAL_AUDIT_REPORT,PROD ALL,HSCP,001,H00PA036_001,,SHRPA_10_001
H00PA037,ZHRPAR_GLOBAL_AUDIT_REPORT,PROD LITE,HSCS,001,H00PA037_001,,SHRPA_10_001
H00PA038,ZHRPAI_GLOBAL_EC_DELETE,PROD RUN,HSCP,001,H00PA038_001,HR: Delete Export Compliance Records,SHRPA_10
H00PA039,ZSETPARM,PRODHR UGR=97,HSCS,001,H00PA039_001,,
H00PA040,ZHRPAI_GLOBAL_EMPLOYEE_TERM,PROD RUN,HSCS,001,H00PA040_001,Terminate Employees,SHRPA_10_001
H00PA041,ZHRPAI_GLOBAL_COMP_VCIP_EXTR,PRD RUN CUR YR,HSCP,001,H00PA041_001,HR-00-PA: Comp Express VCIP - Curr Yr,SHRPA_10_002
H00PA042,ZHRPAI_GLOBAL_COMP_VCIP_EXTR,PRD RUN PRV YR,HSCP,001,H00PA042_001,HR-00-PA: Comp Express VCIP - Prev Yr,SHRPA_10_002
H00PA043,ZHRPAI_GLOBAL_COMP_VCIP_EXTR,PRD RUN FREEZE,HSCP,001,H00PA043_001,HR-00-PA: Comp Express VCIP - Freeze,SHRPA_10_002
H00PA044,ZHRPAI_GLOBAL_COMP_VCIP_EXTR,PRD RUNLASTMIN,HSCP,001,H00PA044_001,,SHRPA_10
H00PA045,ZHRPAI_GLOBAL_COMP_SALARY_EXTR,PROD RUN,HSCP,001,H00PA045_001,HR-00-PA: Comp Express Salary - US Salary WS Code,SHRPA_10_002
H00PA046,ZHRPAI_GLOBAL_COMP_SALARY_EXTR,PROD NOTIFICTN,HSCP,001,H00PA046_001,HR-00-PA: Comp Express Salary -Notifications WS Code,SHRPA_10_002
H00PA047,ZHRPAI_GLOBAL_COMP_SALARY_EXTR,VLTI PROD RUN,HSCP,001,H00PA047_001,HR-00-PA: TVLTI Comp Express,SHRPA_10_002
H00PA052,ZUNIXCPY,H00PA052_001,HSCS,001,H00PA052_001,HR:00:PA BAML Mobility Stock Exercises Inbound,SHRPA_10_002
H00PA058,ZHRPAI_GLOBAL_EMPL_ACTION,PROD RUN,HSCS,001,H00PA058_001,Process Employee Actions,SHRPA_10_001
H00PA059,ZHRPAR_00_SERVICE_AWD_REPORTNG,PROD CEOLETTER,HSCP,001,H00PA059_001,HR-00-PA: CEO Letter Service Awards Report,SHRPA_10_001
H00PA060,ZHRPAI_GLOBAL_COMP_SALARY_EXTR,PROD RECON,HSCP,001,H00PA060_001,HR-00-PA: Comp Express Salary -Notifications WS Code,SHRPA_10_002
H00PA061,ZHRPYI_00_MERRILL_LYNCH_OUT,PRODUCTION RUN,HSCP,001,H00PA061_001,Merrill Lynch Optionee Outbound,SHRPA_10
H00PA062,ZUNIXCPY,H00PA062_002,HSCP,001,H00PA062_001,HR:10:PA Merrill Lynch Exercise Inbound,SHRPA_10_002
H00PA063,ZWAIT,ZWAIT_900,HSCS,001,H00PA063_001,,SHRPY_10
H00PA064,ZHRPAI_00_MERRILL_TRUSTED_AUTH,PRODUCTION RUN,HSCP,001,H00PA064_001,Merrill Lynch - Trusted authentication file,SHRPA_10
H00PA065,ZHRPAI_GLOBAL_OM_PA_SYNC,PROD RUN,HSCP,001,H00PA065_001,OM / PA Sync Errors,SHRPA_10_002
H00PA066,ZHRPAU_00_GLOBAL_STOCK_INFO,PROD RUN,HSCS,001,H00PA066_001,HR-00-PA: Update Global Stock Info on Infotype 9113,SHRP_10_002
H00PA067,ZUNIXCPY,H00PA067_001,HSCP,001,H00PA067_001,,SHRPA_10
H00PA069,ZUNIXCPY,H00PA069_001,HSCS,001,H00PA069_001,HR:00:PA - Copy old New file to new Old file.,SHRPA_00
H00PA070,ZHRPAC_P66_EMPLE_LIST,PROD RUN,HSCP,001,H00PA070_001,Build Company Split Employee Number List,SHRPA_00_001
H00PA071,RHINTE00,PRD RUN,HSCP,001,H00PA071_001,PA to OM Sync,SHRPA_00_001
H00PA072,ZHRPAR_GLOBAL_POSCHG_REPORT,PROD RUN,HSCS,001,H00PA072_001,HR Position Change Notifications to ALM Administrators,SHRPA_10
H00PA073,ZHRPAI_00_SF_PA0000,PROD RUN,HSCS,001,H00PA073_001,HR:00:PA: Success Factors Infotype 0000 Extract,SHRPA_10
H00PA074,ZHRPAI_00_SF_HRP1000,PROD RUN,HSCS,001,H00PA074_001,HR:00:OM: Success Factors Infotype 1000 Extract,SHRPA_10
H00PA075,ZHRPAI_00_SF_T001,PROD RUN,HSCS,001,H00PA075_001,HR:00:PA: Success Factors Table T001 Extract,SHRPA_10
H00PA076,ZHRPAU_UPDATE_PER_PARM,PROD RUN,HSCS,001,H00PA076_001,HR: Update PER User Parameter,SHRPA_10
H00PA077,ZHRPAR_GLOBAL_WF_SUB_REPORT,PROD RUN,HSCS,001,H00PA077_001,SAP Workflow Substitution Report for ALM Administrators,SHRPA_10
H00PA078,ZHRPAI_00_SF_ORG_JOB_EXTRACT,PROD RUN,HSCS,001,H00PA078_001,HR-00-PA: SuccessFactors-Org and Multiple Jobs Extracts,SHRPY_10
H00PA079,ZHRPAI_00_SF_EDF,PROD RUN,HSCS,001,H00PA079_001,HR:00:PA: Success Factors BizX Employee Data Extract,SHRPA_10
H00PA081,ZHRPAR_00_SPOOLAUTH_AUDIT,PRD RUN,HSCS,001,H00PA081_001,Spool Authorization Security Report,SHRPA*
H00PA082,ZHRPAR_00_CORRUPT_INFOTYPE_TXT,PRD RUN,HSCS,001,H00PA082_001,Monthly Corrupt Infotype Text Object Report,SHRPA*
H00PA083,ZHRPAR_00_CORRUPT_INFOTYPE_TXT,PRD RUN ANNUAL,HSCS,001,H00PA083_001,Annual Corrupt Infotype Text Object Report,SHRPA*
H00PA084,ZHRPDI_ORG_CHART_INTERFACE,H00PA084_001,HSCP,001,H00PA084_001,HR:10 Organization Chart Outbound Interface,SHRPA_10_002
H00PA085,ZHRPAR_GLOBAL_LEAVE_REPORT,H00PA085_001,HSCS,001,H00PA085_001,,SHRPA_00
H00PA086,ZHRPAR_INFTYP_CHG_AUDIT,H00PA086,HSCS,001,H00PA086_001,,SHRPA_10
H00PA087,ZHRPDI_ORG_CHART_INTERFACE,H00PA087_001,HSCS,001,H00PA087_001,,SHRPA_10
H00PA088,ZHRPDI_ORG_CHART_INTERFACE,H00PA088_001,HSCS,001,H00PA088_001,,SHRPA_10
H00PA089,ZHRPAR_GLOBAL_LEAVE_REPORT,H00PA089_001,HSCS,001,H00PA089_001,SAP HR Global Leave Report,SHRPA_00
H00PA090,Y0100411,H00PA090_001,HSCS,001,Y00PA090_001,,SHRPA_10
H00PA091,ZHRPAI_00_LMS_WORK_LOC_EXTRACT,PROD RUN,HSCS,001,H00PA091_001,HR-00-PA: LMS-Work Location Extract,SHRPA_00
H00PA092,ZHRPAI_00_LMS_ORG_JOB_EXTRACT,PROD RUN,HSCS,001,H00PA092_001,HR-00-PA: LMS-Org and Job Extracts,SHRPA_00
H00PA093,ZHRPAI_00_LMS_EE_EXTRACT,PROD RUN,HSCS,001,H00PA093_001,HR-00-PA: LMS-Employee Data Extract,SHRPA_00
H00PD001,RHGRENZ4,ZHR_CN_O_DLMT,HSCS,001,H00PD001_001,HR: Delimiting OM objects,SHRPA_10
H00PD030,ZHRPDC_LOAD_ORG_STRUCTURE,PROD RUN,HSCS,001,H00PD030_001,HR-00-PD: Load Organization Structures in SAP,
H00PD031,ZHRPDC_LOAD_POSITIONS,PROD RUN,HSCS,001,H00PD031_001,HR-00-PD: Load Positions into SAP,
H00PT001,ZCATSCMP,PROD RUN,HSCS,001,H00PT001_001,,SHRPA_10
H00PT002,ZVJWF160,CATS,HSCS,001,H00PT002_001,,SHRPA_10
H00PT003,ZHRPTI_00_TIME_EXTRACT,H00PT002_001,HSCP,001,H00PT003_001,HR:00:PT Time extract for oracle data warehouse,SHRPY_10
H00PT004,RPCS0000,H00PT004,HSCS,001,H00PT004_001,Global CATS Auto - Approval - All Inclusive,SHRPA_10
H00PT005,RPCS0000,H00PT005_INIT,HSCS,001,H00PT005_001,Global HR CATS Initial Transfer,SHRPA_10
H00PY001,ZHRPYU_00_DEL_SIM_POSTINGS,PROD RUN,HSCS,001,H00PY001_001,HR: Delete FI and 3rd party simulation posting runs,SHRPY_10
H00PY003,Y0100160,US BYOD REPORT,HSCS,001,H00PY003_001,,SHRPY_10
H00PY004,RPDASC00,CA DAY PROCING,HSCS,001,CA DAY PROC,CA DAY PROCING,SHRPY_10
H07BN002,ZHRBNI_07_SUNLIFE_SAVINGS_UPD,PROD RUN,HSCP,001,H07BN002_001,HR 07: SunLife EE Savings Updates,SHRPA_07_001
H07BN004,ZHRBNI_07_HR_BEN_SUNLIFE,PROD RUN,HSCP,001,H07BN004_001,HR:07:BN Sunlife Benefit Elig Control Report,SHRPA_07
H07BN005,ZHRPYI_07_BENEVITY_OUTBOUND,H07BN005_001,HSCS,001,H07BN005_001,,SHRPY_07
H07BN006,ZUNIXCPY,H07BN006_001,HSCS,001,H07BN006_001,,SHRPY_07
H07BN007,ZHRPYI_07_BENEVITY_RECON_OUT,H07BN007_001,HSCS,001,H07BN007_001,Canada Benevity Reconciliation,SHRPY_07
H07PA001,ZHRPAI_07_TOTCOMP_EXTRACT,PROD RUN,HSCP,001,H07PA001_001,Canada Total Comp Extract Control Rpt,SHRPA_07_001
H07PA002,ZHRPAI_GLOBAL_TASK_MONITOR,CA PROD 1,HSCS,001,H07PA002_001,CA Temp Employment End Date Task Monitor,SHRPA_07_001
H07PA003,ZUNIXCPY,H07PA003_01,HSCP,001,H07PA003_001,HR-08-PA: Copy CA Expat Update file from eGate,
H07PA004,ZHRPAR_GLOBAL_AUDIT_REPORT,PROD CANADA,HSCS,001,H07PA004_001,,SHRPA_10_001
H07PA005,ZHRPAI_07_ADDRESS_UPDATE,PROD RUN,HSCP,001,H07PA005_001,Canada Former Employee Address Updates,SHRPA_07_001
H07PA006,ZHRPAI_07_ANN_ENROL_EXTRACT,H07PA006_001,HSCP,001,H07PA006_001,HR:07:PA Canada Annual Enrollment Extract,SHRPA_07_001
H07PA007,ZHRPAI_GLOBAL_COMP_UPDATE,PROD CA TEST,HSCP,001,H07PA007_001,HR: Process CA Salary Adjustments from CE - Simulation,SHRPA_10_001
H07PA008,ZHRPAI_GLOBAL_COMP_UPDATE,PROD CA UPDATE,HSCP,001,H07PA008_001,HR: Process CA Salary Adjustments from CE - UPDATE,SHRPA_10_001
H07PA009,ZHRPAI_GLOBAL_IT0315_SYNC,CA PROD RUN,HSCP,001,H07PA009_001,HR-07-PA: Infotype 0027 / 0315 Synchronization,SHRPA_07_001
H07PT001,ZCATSAPP,CANADA UNAPP,HSCS,001,H07PT001_001,,SHRPY_07
H07PT002,RPTEXTPT,CANADA FIRST,HSCS,001,H07PT002_001,,SHRPY_07
H07PT003,RPTEXTPT,CANADA REPEAT,HSCS,001,H07PT003_001,,SHRPY_07
H07PT004,ZHRPTI_GLOBAL_CATS_AUTO_APPR,H07PT004,HSCP,001,H07PT004_001,Canada Auto-Approval for CATS,SHRPY_07
H07PT005,RPCS0000,H07PT005,HSCS,001,H07PT005_001,CATS Auto-Approval (Job Scheduling Step),SHRPA_10
H07PT006,ZHRPTU_GLOBAL_CATS_CC_SYNC,CA PROD CY,HSCS,001,H07PT006_001,CA Global CATS Cost Center Sync - Weekly,SHRPA_10_001
H07PY001,ZHRPYI_GLOBAL_VCIP_EARNINGS,PROD RUN CA,HSCS,001,H07PY001_001,VCIP Extract Control Report for Canada,SHRPY_07
H07PY110,RPCIPE00,CA-K1-SIMU,HSCS,001,H07PY110_001,,SHRPY_07
H07PY120,ZHRPAI_PAYROLL_PAYMENT,CANADA K1 PROD,HSCS,001,H07PY120_001,,SHRPY_07
H07PY130,RPCIPE00,CA-K1-PROD,HSCS,001,H07PY130_001,,SHRPY_07
H07PY140,RPURME00,K1 PROD RUN,HSCS,001,H07PY140_001,Canada Payroll - 3PR Remitance Evaluation and Store for K1,SHRPY_07
H07PY200,RPCSC000,H07PY200,HSCS,001,H07PY200_001,Canada K2 Payroll Simulation,SHRPY_07
H07PY205,RPCSC000,H07PY205,HSCS,001,H07PY205_001,Canada K2 Payroll Calc in Production Mode,SHRPY_07
H07PY210,RPCIPE00,CA-K2-SIMU,HSCS,001,H07PY210_001,,SHRPY_07
H07PY220,ZHRPAI_PAYROLL_PAYMENT,CANADA K2 PROD,HSCS,001,H07PY220_001,,SHRPY_07
H07PY230,RPCIPE00,CA-K2-PROD,HSCS,001,H07PY230_001,,SHRPY_07
H07PY240,RPURME00,K2 PROD RUN,HSCS,001,H07PY240_001,Canada Payroll - 3PR Remitance Evaluation and Store for K2,SHRPY_07
H07PY310,RPCIPE00,CA-K3-SIMU,HSCS,001,H07PY310_001,,SHRPY_07
H07PY320,ZHRPAI_PAYROLL_PAYMENT,CANADA K3 PROD,HSCS,001,H07PY320_001,,SHRPY_07
H07PY330,RPCIPE00,CA-K3-PROD,HSCS,001,H07PY330_001,,SHRPY_07
H07PY340,RPURME00,K3 PROD RUN,HSCS,001,H07PY340_001,Canada Payroll - 3PR Remitance Evaluation and Store for K3,SHRPY_07
H07PY410,RPUOCB00,CA OC REG RUN,HSCS,001,H07PY410_001,,SHRPY_07
H07PY420,RPUOCB00,CA OC ADJ RUN,HSCS,001,H07PY420_001,,SHRPY_07
H07PY430,ZHRPAI_PAYROLL_PAYMENT,CANADA OC PROD,HSCS,001,H07PY430_001,,SHRPY_07
H07PY510,RPCIPE00,CA-K5-SIMU,HSCS,001,H07PY510_001,,SHRPY_07
H07PY520,ZHRPYR_PAYROLL_WRAPPER,CA DME K5,HSCS,001,H07PY520_001,,SHRPY_07
H07PY530,RPCIPE00,CA-K5-PROD,HSCS,001,H07PY530_001,,SHRPY_07
H07PY540,ZHRPYR_PAYROLL_WRAPPER,CA 3PR K5,HSCS,001,H07PY540_001,,SHRPY_07
H07PY600,RPURMPK0,3PR TEST,HSCS,001,H07PY600_001,,SHRPY_07
H07PY610,RPURMPK0,3PR POST,HSCS,001,H07PY610_001,,SHRPY_07
H07PY631,ZHRPYI_GLOBAL_FILECHCK_XML,H07PY631_001,HSCS,001,H07PY631_001,,SHRPY_07
H07PY710,ZHRPYI_07_EQUIFAX_DEMOGRAPHIC,PRD RUN,HSCS,001,H07PY710_001,HR-07-PY: EQUIFAX DEMOGRAPHIC EXTRACT,SHRPY_07
H07PY715,ZHRPYI_PAY_PORTAL_SWEEPER,CA PROD RUN,HSCP,001,H07PY715_001,Payroll Portal Sweeper Run for Canada,SHRPY_07
H07PY720,RPUOCB00,CA OC REG RUN,HSCS,001,H07PY720_001,,SHRPY_07
