NAME,NEWNAME
STUB_DYS[ALL],Daily
STUB_EVERYDAY-!EXCLUDE_SAT-SUN,Monday to Friday
STUB_EVERYDAY,Daily
STUB_EVERYDAY-!EXCLU_M_TU_TR_SA_SU,Every Wednesday and Friday
STUB_EVERYDAY-!EXCLUDE_F-S-U-M-W,Tuesday-and-Thursday
STUB_EVERYDAY-!EXCLUDE_FRI-!EXCLUDE_SUN,Monday-to-Thursday-and-Saturday
STUB_EVERYDAY-!EXCLUDE_FRI-to-MON,Tuesday-Wednesday-Thursday
STUB_EVERYDAY-!EXCLUDE_FRI-to-WED,Thursday
STUB_EVERYDAY-!EXCLUDE_MONTHS_QTR-!ONLY_RUN_ON_15TH,15th-Day-Of-Quarter
STUB_EVERYDAY-!EXCLUDE_SAT-SUN-!EXCLUDE_TUE,Mon-Wed-Thurs-Fri
STUB_EVERYDAY-!EXCLUDE_SAT-SUN-!HOL_CHRISTMASEVE-!HOL_CHRISTMAS-,Monday-to-Friday-Exclude-christmas 
STUB_EVERYDAY-!EXCLUDE_SAT-SUN-!HOL_NEWYEARSDAY-!HOL_GOODFRIDAY-,Mon-to-Fri-exclude-Jan1st-and-GoodFriday
STUB_EVERYDAY-!EXCLUDE_SAT-SUN-!MONTHDAY_LAST_DAY,Mon-to-Fri-Exclude-Last-Day-of-Months
STUB_EVERYDAY-!EXCLUDE_SAT-SUN-!ONLY_RUN_1ST_TO_10,1st-and-10th-of-Every-Month-Weekdays-Only
STUB_EVERYDAY-!EXCLUDE_SAT-THUR,Friday
STUB_EVERYDAY-!EXCLUDE_SAT-to-THU,Friday
STUB_EVERYDAY-!EXCLUDE_SAT_SUN_MON,Tuesday-to-Friday
STUB_EVERYDAY-!EXCLUDE_SUN,Monday-to-Saturday
STUB_EVERYDAY-!EXCLUDE_SUN-!EXCLUDE_FRI,Monday-to-Thursday-and-Saturday
STUB_EVERYDAY-!EXCLUDE_SUN-MON,Tuesday-Thru-Saturday
STUB_EVERYDAY-!EXCLUDE_SUN-MON-!HOL_NEWYEARSPLUS1-!HOL_PRESIDENT,Tues-to-Sat-Exclude-Jan2nd-and-Presidents day
STUB_EVERYDAY-!EXCLUDE_SUN-to-FRI,Saturday
STUB_EVERYDAY-!EXCLUDE_SUN_MON,Tuesday-Thru-Saturday
STUB_EVERYDAY-!EXCLUDE_SUN_THU,Friday-and-Saturday
STUB_EVERYDAY-!EXCLUDE_THU-to-TUE,Wednesday
STUB_EVERYDAY-!EXCLUDE_TUE-to-SUN,Monday
STUB_EVERYDAY-!EXCLUDE_TUE-to-SUN-!Run_1st_thru_7th,??
STUB_EVERYDAY-!EXCLUDE_WED-to-MON,Tuesday
STUB_EVERYDAY-!HOL_NEWYEARSDAY-!HOL_PRESIDENTSDAY-!HOL_MEMORIALD,Daily-Exclude-Jan1-PresDay-MemorialDay
STUB_EVERYDAY-!ONLY_1ST_3RD_FRIDAY,1st-and-3rd-Friday-of-Month
STUB_EVERYDAY-!ONLY_7TH_TO_15TH-!EXCLUDE_SAT-SUN,7th-thru-15th-ofMonth-Excluding-Weekends
STUB_EVERYDAY-!ONLY_LAST_MONTHDAY,Last-day-every-month
STUB_EVERYDAY-!ONLY_RUN_16_AND_26,16th-and-26th-of-Every-Month
STUB_EVERYDAY-!ONLY_RUN_1ST_15TH,1st-and-15th-of-Every-Month
STUB_EVERYDAY-!ONLY_RUN_2ND,2nd-of-every-month
STUB_EVERYDAY-!ONLY_RUN_3RD_TO_6TH,3rd-4th-5th-6th-of-Every-Month
STUB_EVERYDAY-!ONLY_RUN_3RD_TO_6TH-!EXCLUDE_SAT-SUN,3rd-4th-5th-6th-of-Month-Exclude-Weekends
STUB_EVERYDAY-!ONLY_RUN_5TH_TO_15,5th-to-15th-Every-Month
STUB_EVERYDAY-!ONLY_RUN_8TH,8th-of-Every-Month
STUB_EVERYDAY-!ONLY_RUN_M_1_4_7_10-!ONLY_RUN_ON_15TH,15th-Day-Of-Quarter
STUB_EVERYDAY-!ONLY_RUN_M_1_4_7_10-!ONLY_RUN_ON_5TH,5th-Day-Of-Quarter
STUB_EVERYDAY-!ONLY_RUN_M_3_9-!ONLY_RUN_ON_30TH,30th-of-March-September
STUB_EVERYDAY-!ONLY_RUN_ON_10TH,10th-of-Month
STUB_EVERYDAY-!ONLY_RUN_ON_12TH,12th-of-Month
STUB_EVERYDAY-!ONLY_RUN_ON_15TH,15th-of-Month
STUB_EVERYDAY-!ONLY_RUN_ON_1ST,1st-of-Month
STUB_EVERYDAY-!ONLY_RUN_ON_20TH,20th-of-Month
STUB_EVERYDAY-!ONLY_RUN_ON_2ND,2nd-of-Month
STUB_EVERYDAY-!ONLY_RUN_ON_5TH,5th-of-Month
STUB_EVERYDAY-!ONLY_RUN_ON_6TH,6th-of-Month
STUB_EVERYDAY-!ONLY_RUN_ON_6TH-!EXCLUDE_MONTHS_QTR,6th-of-Month-Excluding-QTR-months
STUB_EVERYDAY-!ONLY_RUN_ON_7TH,7th-of-Month
STUB_EVERYDAY-!ONLY_RUN_WEEK_2-!EXCLUDE_FRI-to-WED,2nd-Thursday-of-Month
STUB_*-!EXCLUDE_SAT-SUN,Monday to Friday
STUB_*-!EXCLUDE_WED-to-MON,Tuesday
STUB_*-!ONLY_RUN_1ST_TO_10,1st-thru-10th
