JOBNAME,PDEST,PLIST,PRBER,PRCOP,PROGNAME,PRTXT,VARIANT
RSEOUT00_ZMMINT17C_POC_PO, ,RSEOUT00_S_B, ,1,RSEOUT00, ,ZMMINT17C
ZSDLEI57_INCOMPLETE_PGI_FIX, ,ZSDLEI57_S_B, ,1,ZSDLEI57, ,PGI_INCOMPLETE
ZSDSAI03_UPDATE_ENT_VARIANTS,CP21,ZSDSAI03_SAP, ,1,ZSDSAI03, , 
RSNAST00_INSERT_ORDERS_ENT_PP2, ,RSNAST00_SAP, ,1,RSNAST00, ,ZE06_MANUAL2
RBDAPP01_CRT_BSRO_ORDERS,LP01,RBDAPP01_SAP, ,1,RBDAPP01, ,ZMTSD_JDA_ORD
RSNAST00_INSERT_ORDERS_ENT_PP3, ,RSNAST00_SAP, ,1,RSNAST00, ,ZE06_MANUAL3
BASIS_RESUME_BFP_BATCH,AK09,BTCTRNS2_SAP, ,1,BTCTRNS2, , 
RSNAST00_INSERT_ORDERS_ENT_PP1, ,RSNAST00_SAP, ,1,RSNAST00, ,ZE06_MANUAL1
TAULIA_IES_JOB_SCHEDULER, ,/TAULIA/PIES, ,1,/TAULIA/PIES_JOB_SCHEDULER, , 
ZIBD_SHIPMENT, ,ZIBD_SHIPMEN, ,1,ZIBD_SHIPMENT, ,ZIBDIBS
RSEOUT00_ZSDINT0019_BSRO_PO,WINP,RSEOUT00_S_B, ,1,RSEOUT00, ,BSRO_0019_JOB
MM70AE1A_OUTPUT_TRIGGER_ZHJM,LP01,MM70AE1A_S_B, ,1,MM70AE1A, ,INT47-ZHJM
SD70AV2A_OUTPUT_TRIGGER_SPED,CP21,SD70AV2A_SAP, ,1,SD70AV2A, ,LE_DLVRY-SPED
SD70AV7A_OUTPUT_TRIGGER_ZSTO,CP21,SD70AV7A_SAP, ,1,SD70AV7A, ,LE_OUTPUT_ZSTO
SD70AV2A_OUTPUT_TRIGGER_ZBPO,CP21,SD70AV2A_SAP, ,1,SD70AV2A, ,LE_DLVRY-ZBPO
SD70AV2A_OUTPUT_TRIGGER_ZEN2,CP21,SD70AV2A_SAP, ,1,SD70AV2A, ,LE_DLVRY-ZEN2
SD70AV2A_OUTPUT_TRIGGER_ZORS,CP21,SD70AV2A_SAP, ,1,SD70AV2A, ,LE_DLVRY-ZORS
RSNAST00_OUTPUT_TRIGGER_ZHJD, ,RSNAST00_SAP, ,1,RSNAST00, ,LE_OUTPUT_ZHJD
SD70AV7A_OUTPUT_TRIGGER_ZBLT,AK09,SD70AV7A_SAP, ,1,SD70AV7A, ,LE_OUTPUT_ZBLT
ZMMBI002_CFS_F171,DZ01,ZMMBI002_SAP, ,1,ZMMBI002, ,ZMMBI002_F171C
ZMMBI002_CFS_F131,DP15,ZMMBI002_SAP, ,1,ZMMBI002, ,ZMMBI002_F131C
ZMMPUR43_Z_DLY_UDTSTOQT,WINP,ZMMPUR43_S_B, ,1,ZMMPUR43, ,Z_DLY_UDTSTOQT
RBDMANI2_REPROCESS_BSRO_ORDERS,LP01,RBDMANI2_SAP, ,1,RBDMANI2, ,ZMTSD_JDA_ORD
ZMMBI025_CFS_F171,CP40,ZMMBI025_SAP, ,1,ZMMBI025, ,ZMMBI025_F171C
ZMMBI025_CFS_F131,DP15,ZMMBI025_SAP, ,1,ZMMBI025, ,ZMMBI025_F131C
ZMMIMI38_STOTO_BANDAG,CP21,ZMMIMI38_S_B, ,1,ZMMIMI38, ,STOTOBANDAG-N
ZSDLEI21_OPENJDADAILY,CP21,ZMMIMI38_S_B, ,1,ZSDLEI21, ,OPENJDADAILY-N
ZMMBI018_CFS_F171,DZ01,ZMMBI018_SAP, ,1,ZMMBI018, ,ZMMBI018_F171C
ZMMBI018_CFS_F131,DP15,ZMMBI018_SAP, ,1,ZMMBI018, ,ZMMBI018_F131C
ZPPPTD01_UNFIRM_PLN_ORD_F191, ,ZPPPTD01_DUE, ,1,ZPPPTD01, ,ZPPPTD01-F191
